% Format of weather data in CARNOT.
%   station name:  Potsdam   country: Germany
%   geographical positon: longitude: 52.393800 , latitude: -13.065100
%   reference meridian for time (example: 0° = Greenwich Mean Time): -15.000000
% Data converted from Test Reference Year. Data converted from Test Reference Year. DWD local TRY 2016 
% Use the Carnot block "Weather_Datafile" to get the data in your model.
%
% col   description                                       units
% 1     time                                                s
% 2     timevalue (comment line) format YYYYMMDDHHMM        -
%       Y is the year, M the month, D the day, H the hour
% 3     zenith angle of sun (at time, not averaged)         degree
%       (continue at night to get time of sunrise by
%       linear interpolation)
% 4     azimuth angle of sun (0°=south, east negative)      degree
%       (at time, not average in timestep)
% 5     direct solar radiation on a normal surface          W/m^2
% 6     diffuse solar radiation on surface                  W/m^2
% 7     ambient temperature                                 degree centigrade
% 8     radiation temperature of sky                        degree centigrade
% 9     relative humidity                                   percent
% 10    precipitation                                       m/s
% 11    cloud index (0=no cloud, 1=covered sky)             -
% 12    station pressure                                    Pa
% 13    mean wind speed                                     m/s
% 14    wind direction (north=0° west=270°)                 degree
% 15    incidence angle on surface (0° = vertical)          degree
%       (= -9999, if surface orientation is unknown)
% 16    incidence angle in plane of vertical and main       degree
%       surface axis (the main axis is parallel to heat
%       collecting pipes in a collector, it is pointing
%       to the center of the earth)
% 17    incidence angle in plane of vertical and second     degree
%       surface axis (the second axis is in the surface
%       and a vertical on the heat collecting pipes in 
%       a collector, it is pointing to the horizon)
%
% 18    direct solar radiation on surface                   W/m^2
% 19    diffuse solar radiation on surface                  W/m^2
% UNKNOWN: set -9999 for unknown values
%
%   time        tvalue    zenith   azimuth   Ibn Idfuhor Tamb   Tsky   hum    prec  cloud   p      wspeed  wdir  incidence  tetal   tetat   Idirhor Idfuhor
  225000  200501031430     81.04     31.95   507    40   -1.2  -25.3   79.0  -9999  0.000  102600    2.70  358.0     81.0  -9999.0  -9999.0    79    40
  228600  200501031530     86.70     44.63    17    23   -1.6  -19.8   81.0  -9999  0.250  102600    3.20  320.0     86.7  -9999.0  -9999.0     1    23
  232200  200501031630     93.76     56.51     0     0   -2.3  -15.1   80.0  -9999  0.500  102700    2.70  320.0     93.8  -9999.0  -9999.0     0     0
  235800  200501031730    101.84     67.83     0     0   -2.8  -10.3   82.0  -9999  0.750  102700    1.90  320.0    101.8  -9999.0  -9999.0     0     0
  239400  200501031830    110.59     78.98     0     0   -3.2   -8.2   82.0  -9999  0.875  102800    2.20  330.0    110.6  -9999.0  -9999.0     0     0
  243000  200501031930    119.68     90.49     0     0   -3.5  -13.7   82.0  -9999  0.625  102800    1.90  340.0    119.7  -9999.0  -9999.0     0     0
  246600  200501032030    128.75    103.14     0     0   -4.5  -14.8   83.0  -9999  0.625  102800    1.70  320.0    128.8  -9999.0  -9999.0     0     0
  250200  200501032130    137.30    118.05     0     0   -3.5  -13.6   85.0  -9999  0.625  102900    1.70  310.0    137.3  -9999.0  -9999.0     0     0
  253800  200501032230    144.57    136.82     0     0   -3.3  -13.4   85.0  -9999  0.625  102900    2.10  330.0    144.6  -9999.0  -9999.0     0     0
  257400  200501032330    149.33    160.79     0     0   -3.0   -5.5   84.0  -9999  1.000  102900    0.60  300.0    149.3  -9999.0  -9999.0     0     0
  261000  200501040030    150.20   -171.62     0     0   -2.7   -7.6   83.0  -9999  0.875  102900    1.50  310.0    150.2  -9999.0  -9999.0     0     0
  264600  200501040130    146.85   -145.76     0     0   -3.0  -10.5   83.0  -9999  0.750  103000    1.80  300.0    146.8  -9999.0  -9999.0     0     0
  268200  200501040230    140.40   -125.00     0     0   -3.3  -13.4   84.0  -9999  0.625  103000    1.40  310.0    140.4  -9999.0  -9999.0     0     0
  271800  200501040330    132.24   -108.76     0     0   -4.0  -19.6   86.0  -9999  0.375  103000    1.30  320.0    132.2  -9999.0  -9999.0     0     0
  275400  200501040430    123.30    -95.38     0     0   -5.4  -27.2   88.0  -9999  0.125  103000    0.90  330.0    123.3  -9999.0  -9999.0     0     0
  279000  200501040530    114.17    -83.53     0     0   -6.1  -28.1   89.0  -9999  0.125  103000    0.80  340.0    114.2  -9999.0  -9999.0     0     0
  282600  200501040630    105.23    -72.31     0     0   -6.6  -31.8   90.0  -9999  0.000  103000    0.90  350.0    105.2  -9999.0  -9999.0     0     0
  286200  200501040730     96.83    -61.11     0     0   -6.4  -28.4   89.0  -9999  0.125  103100    0.00   10.0     96.8  -9999.0  -9999.0     0     0
  289800  200501040830     89.32    -49.49   335     8   -6.8  -28.9   90.0  -9999  0.125  103100    0.90   30.0     89.3  -9999.0  -9999.0     4     8
  293400  200501040930     83.04    -37.14   363    31   -5.6  -27.5   88.0  -9999  0.125  103100    1.30   20.0     83.0  -9999.0  -9999.0    44    31
  297000  200501041030     78.38    -23.95   318    63   -4.3  -26.0   84.0  -9999  0.125  103200    0.60   20.0     78.4  -9999.0  -9999.0    64    63
  300600  200501041130     75.71    -10.03   401    75   -3.1  -24.5   84.0  -9999  0.125  103200    0.00    0.0     75.7  -9999.0  -9999.0    99    75
  304200  200501041230     75.24      4.24   196    98   -1.6  -16.9   83.0  -9999  0.375  103200    1.60   90.0     75.2  -9999.0  -9999.0    50    98
  307800  200501041330     77.03     18.37   143    89   -1.5  -11.5   80.0  -9999  0.625  103200    1.30  100.0     77.0  -9999.0  -9999.0    32    89
  311400  200501041430     80.91     31.89   253    60   -1.6  -19.8   80.0  -9999  0.250  103200    1.80  110.0     80.9  -9999.0  -9999.0    40    60
  315000  200501041530     86.57     44.58    84    25   -2.7  -21.2   80.0  -9999  0.250  103200    1.80  100.0     86.6  -9999.0  -9999.0     5    25
  318600  200501041630     93.62     56.48     0     0   -4.2  -25.9   83.0  -9999  0.125  103200    1.80  120.0     93.6  -9999.0  -9999.0     0     0
  322200  200501041730    101.70     67.81     0     0   -5.1  -27.0   84.0  -9999  0.125  103300    2.70  110.0    101.7  -9999.0  -9999.0     0     0
  325800  200501041830    110.45     78.97     0     0   -5.6  -30.9   84.0  -9999  0.000  103300    2.70  100.0    110.4  -9999.0  -9999.0     0     0
  329400  200501041930    119.54     90.48     0     0   -6.4  -31.9   84.0  -9999  0.000  103300    3.10  100.0    119.5  -9999.0  -9999.0     0     0
  333000  200501042030    128.61    103.12     0     0   -6.3  -28.5   85.0  -9999  0.125  103300    2.70   90.0    128.6  -9999.0  -9999.0     0     0
  336600  200501042130    137.16    118.02     0     0   -7.0  -29.4   85.0  -9999  0.125  103300    2.90  100.0    137.2  -9999.0  -9999.0     0     0
  340200  200501042230    144.44    136.75     0     0   -7.2  -29.6   86.0  -9999  0.125  103300    2.60  110.0    144.4  -9999.0  -9999.0     0     0
  343800  200501042330    149.21    160.64     0     0   -7.5  -29.9   86.0  -9999  0.125  103300    2.60  110.0    149.2  -9999.0  -9999.0     0     0
  347400  200501050030    150.11   -171.84     0     0   -8.0  -21.4   87.0  -9999  0.500  103300    2.60  100.0    150.1  -9999.0  -9999.0     0     0
  351000  200501050130    146.79   -146.00     0     0   -8.3  -18.9   88.0  -9999  0.625  103300    3.00  100.0    146.8  -9999.0  -9999.0     0     0
  354600  200501050230    140.37   -125.22     0     0   -8.2  -18.8   88.0  -9999  0.625  103300    3.10  100.0    140.4  -9999.0  -9999.0     0     0
  358200  200501050330    132.22   -108.96     0     0   -6.7  -14.4   87.0  -9999  0.750  103300    2.40  110.0    132.2  -9999.0  -9999.0     0     0
  361800  200501050430    123.29    -95.55     0     0   -7.0  -20.3   86.0  -9999  0.500  103300    1.30  120.0    123.3  -9999.0  -9999.0     0     0
  365400  200501050530    114.15    -83.68     0     0   -8.4  -31.0   86.0  -9999  0.125  103300    1.90   90.0    114.2  -9999.0  -9999.0     0     0
  369000  200501050630    105.21    -72.46     0     0   -8.7  -34.7   87.0  -9999  0.000  103300    2.60   90.0    105.2  -9999.0  -9999.0     0     0
  372600  200501050730     96.81    -61.26     0     0   -8.9  -31.6   88.0  -9999  0.125  103200    3.30   90.0     96.8  -9999.0  -9999.0     0     0
  376200  200501050830     89.27    -49.63    79     9   -8.7  -31.3   88.0  -9999  0.125  103200    3.00  100.0     89.3  -9999.0  -9999.0     1     9
